number,citation,signing_date,document_number,notes
13081,,1998-04-30,98-11922,"Amends: EO 13038, March 11, 1997
Note: EO 13081 is nullified by virtue of the Committee being abolished by EO 13138, September 30, 1999."
13082,,1998-05-08,98-12963,"Amends: EO 9080, February 27, 1942
See: EO 10692, December 22, 1956; EO 12377, August 6, 1982"
13083,,1998-05-14,98-13552,"Supplements: EO 12866, September 30, 1993; EO 12988, February 5, 1996
Revokes: EO 12612, October 26, 1987; EO 12875, October 26, 1993
Suspended by: EO 13095, August 5, 1998
See: EO 13084, May 14, 1998; Public Law 105-277 (sec. 425)
Revoked by: EO 13132, August 4, 1999"
13084,,1998-05-14,98-13553,"Supplements: EO 12866, September 30, 1993; EO 12988, February 5, 1996; Memorandum of April 29, 1994 (Government-to-Government Relations With Native American Tribal Governments)
Revoked by: EO 13175, November 6, 2000
See: EO 13083, May 14, 1998"
13085,,1998-05-26,98-14407,
13086,,1998-05-27,98-14688,"Amends: EO 12473, April 13, 1984
See: EO 12484, July 13, 1984; EO 12550, February 19, 1986; EO 12586, March 3, 1987; EO 12708, March 23, 1990; EO 12767, June 27, 1991; EO 12888, December 23, 1993; EO 12936, November 10, 1994; EO 12960, May 12, 1995; EO 13140, October 6, 1999"
13087,,1998-05-28,98-14689,"Amends: EO 11478, August 8, 1969
See: Proc. 7316, June 2, 2000 (65 FR 36051)
Note: This Executive order expands equal employment policy in the Federal Government by prohibiting discrimination based on sexual orientation."
13088,,1998-06-09,98-15888,"Amended by: EO 13121, April 30, 1999; EO 13192, January 17, 2001
See: Notice of May 25, 2000; Notice of May 24, 2001
Revoked by: EO 13304, May 28, 2003"
13089,,1998-06-11,98-16161,"See: EO 13178, December 4, 2000"
13090,,1998-06-29,98-17828,"Amended by: EO 13136, September 3, 1999
Revoked by: EO 13225, September 28, 2001"
13091,,1998-06-29,98-17829,"Amends: EO 11958, January 18, 1977; EO 12163, September 29, 1979"
13092,,1998-07-24,98-20315,"Amends: EO 13035, February 11, 1997
See: EO 13200, February 11, 2001; EO 13215, May 31, 2001"
13093,,1998-07-27,98-20450,"Amends: EO 13061, September 11, 1997; EO 13080, April 30, 1998"
13094,,1998-07-28,98-20590,"Amends: EO 12938, November 14, 1994
See: Notice of November 6, 2002; Notice of October 29, 2003; Notice of November 4, 2004; EO 13382, June 28, 2005; Notice of October 25, 2005; Notice of October 27, 2006; Notice of November 8, 2007; Notice of November 10, 2008; Notice of November 6, 2009"
13095,,1998-08-05,98-21400,"Suspends: EO 13083, May 14, 1998
Note: Suspends Executive order dealing with new federalism provisions.
Revoked by: EO 13132, August 4, 1999"
13096,,1998-08-06,98-21643,"See: Proc. 7246, October 30, 1999.
Revoked by: EO 13336, April 30, 2004"
13097,,1998-08-07,98-21710,
13098,,1998-08-18,98-22595,"See: EO 12865, September 26, 1993; Notice of September 22, 2000; Notice of September 24, 2001; Notice of September 23, 2002 (67 FR 60105)
Revoked by: EO 13298, May 6, 2003"
